Category;Category_Name;Country;Translate
113;Vaporiere;it;steamers
313;Gelatiere;it;Ice Cream Makers
313;Sorbetière & Glacier;fr;Ice Cream Makers
601;Home Page;it;Home page
601;Home Page;fr;Home page
601;Home Page;de;Home page
4513;Cappe;it;Hoods
4513;Bouilloire;fr;kettle
4513;Wasserkocher;de;kettle
5101;Libri;it;Books & Audio Books
5101;Livres;fr;Books & Audio Books
5101;Bücher & Hörbücher;de;Books & Audio Books
6213;Moda e Accessori;it;Fashion and Accessories
6513;Videogiochi;it;Video games
6513;Jeux Vidéo;fr;Video games
6513;Computer- & Videospiele;de;Video Games
7113;Giochi;it;Games
7113;Jeux;fr;Games
7113;Gesellschaftsspiele;de;Games
7313;Accessoires Auto;fr;Auto Accessories
100001;Attività creative;it;creative activities
100001;Loisirs créatifs;fr;creative activities
100001;Basteln & Malen;de;Crafts and Paints
100101;Foto e Video;it;Photo and video
100201;Computer e Software;it;Computers and Software
100201;Sammeln & Seltenes;de;Toys and Hobbies
100301;TV e Home Cinema;it;TV and Home Cinema
100501;Vari e Altri;it;Various and Other
100601;Audio Portatile;it;Portable Audio
100801;Livres et magazines;fr;Books and magazines
104201;Giardino;it;Garden
104201;Jardin et Bricolage;fr;Garden
107301;Mode & Accessoires;fr;Fashion and Accessories
107301;Mode & Accessoires;de;Fashion and Accessories
107401;Accessori uomo e donna;it;Accessories
107401;Petits accessoires mode;fr;Acessories
107401;Accessoires;de;Acessories
107801;Maglieria Donna;it;Women's Knitwear
107901;Moda Uomo;it;Men fashion
108101;Abbigliamento Uomo;it;Men's Fashion
108101;Vêtement Homme;fr;Men's Fashion
108101;Herrenmode;de;Men's Fashion
108301;Abbigliamento Donna;it;Women's Fashion
108301;Vêtement Femme;fr;Women's Fashion
108301;Damenmode;de;Women's Fashion
108501;Abbigliamento Bambino;it;Baby and Children's Fashion
108501;Vêtement Enfant;fr;Baby and Children's Fashion
108501;Baby- & Kindermode;de;Baby and Children's Fashion
108701;Gioielleria e Bigiotteria;it;Jewelry
108701;Bijoux;fr;Jewelry
108701;Schmuck;de;Jewelry
108801;Intimo femminile;it;Lingerie
108801;Lingerie Femme;fr;Lingerie
108801;Damenunterwäsche;de;Lingerie
108901;Intimo maschile;it;Men's Underwear
108901;Sous-vêtements homme;fr;Men's Underwear
108901;Herrenunterwäsche;de;Men's Underwear
109101;Calzature;it;Shoes
109101;Chaussures;fr;Shoes
109101;Schuhe;de;Shoes
109301;Scarpe Uomo;it;Men's Shoes
109301;Chaussures Homme;fr;Men's Shoes
109301;Herrenschuhe;de;Men's Shoes
109401;Scarpe Donna;it;Women's Shoes
109401;Chaussures Femme;fr;Women's Shoes
109401;Damenschuhe;de;Women's Shoes
109801;Ottica;it;Optics
109901;Telescopi e Microscopi;it;Telescopes and microscopes
110001;Informatique;fr;Computing
110001;Computer & Software;de;Computer and Software
110101;Informatica;it;Computing
110201;Housse / Rangement;fr;Cover and Storage
110301;Altre memory card;it;Memory cards
110401;Connectique;fr;Connectors
110401;Kabel;de;Connectors
110601;Enceintes PC et Multimedia;fr;Computer Speakers
110601;PC-Lautsprecher;de;Computer Speakers
110701;Composant;fr;Components
110701;Komponenten;de;Components
110801;Ventilateur PC;fr;Fans and Coolers
110801;Lüfter & Kühler;de;Fans and Coolers
110901;Processori;it;Processors
110901;Processeur;fr;Processors
110901;Prozessoren;de;Processors
111001;Memorie R.A.M.;it;RAM memories
111101;Schede madri;it;Motherboards
