User,Products,Clicked?
249,83,1.0
362,83,0.0
567,83,0.0
815,83,0.0
919,83,0.0
1128,83,0.0
1465,83,0.0
1927,83,0.0
1955,83,0.0
2010,83,0.0
2280,83,0.0
2892,83,0.0
3580,83,0.0
4420,83,0.0
5083,83,0.0
5147,83,0.0
6690,83,0.0
6704,83,0.0
6810,83,0.0
6994,83,0.0
7021,83,0.0
7965,83,0.0
8566,83,0.0
9108,83,0.0
9469,83,0.0
9673,83,0.0
13405,83,0.0
13886,83,0.0
15282,83,0.0
15686,83,0.0
15773,83,0.0
16081,83,0.0
16672,83,0.0
17982,83,0.0
18121,83,0.0
18898,83,0.0
19045,83,0.0
19359,83,0.0
19435,83,0.0
19489,83,0.0
19731,83,0.0
21015,83,0.0
21594,83,0.0
22299,83,0.0
22393,83,0.0
22515,83,0.0
23360,83,0.0
24817,83,0.0
28426,83,0.0
28686,83,0.0
28800,83,0.0
30779,83,0.0
31348,83,0.0
31734,83,0.0
32451,83,0.0
35491,83,0.0
36765,83,0.0
36781,83,0.0
37231,83,0.0
39892,83,0.0
40182,83,0.0
41208,83,0.0
48032,83,0.0
52797,83,0.0
115024,83,0.0
128755,83,0.0
160541,83,0.0
281006,83,0.0
293680,83,0.0
342625,83,0.0
398935,83,0.0
398983,83,0.0
399566,83,0.0
249,150,0.0
362,150,1.0
567,150,0.0
815,150,0.0
919,150,0.0
1128,150,0.0
1465,150,0.0
1927,150,0.0
1955,150,0.0
2010,150,0.0
2280,150,0.0
2892,150,0.0
3580,150,0.0
4420,150,0.0
5083,150,0.0
5147,150,0.0
6690,150,0.0
6704,150,0.0
6810,150,0.0
6994,150,0.0
7021,150,0.0
7965,150,0.0
8566,150,0.0
9108,150,0.0
9469,150,0.0
9673,150,0.0
13405,150,0.0
13886,150,0.0
15282,150,0.0
15686,150,0.0
15773,150,0.0
16081,150,0.0
16672,150,0.0
17982,150,0.0
18121,150,0.0
18898,150,0.0
19045,150,0.0
19359,150,0.0
19435,150,0.0
19489,150,0.0
19731,150,0.0
21015,150,0.0
21594,150,0.0
22299,150,0.0
22393,150,0.0
22515,150,0.0
23360,150,0.0
24817,150,0.0
28426,150,0.0
28686,150,0.0
28800,150,0.0
30779,150,0.0
31348,150,0.0
31734,150,0.0
32451,150,0.0
35491,150,0.0
36765,150,0.0
36781,150,0.0
37231,150,0.0
39892,150,0.0
40182,150,0.0
41208,150,0.0
48032,150,0.0
52797,150,0.0
115024,150,0.0
128755,150,0.0
160541,150,0.0
281006,150,0.0
293680,150,0.0
342625,150,0.0
398935,150,0.0
398983,150,0.0
399566,150,0.0
249,158,0.0
362,158,0.0
567,158,0.0
815,158,0.0
919,158,0.0
1128,158,0.0
1465,158,0.0
1927,158,0.0
1955,158,0.0
2010,158,0.0
2280,158,0.0
2892,158,0.0
3580,158,0.0
4420,158,0.0
5083,158,0.0
5147,158,0.0
6690,158,0.0
6704,158,0.0
6810,158,0.0
6994,158,0.0
7021,158,0.0
7965,158,0.0
8566,158,0.0
9108,158,0.0
9469,158,0.0
9673,158,0.0
13405,158,0.0
13886,158,0.0
15282,158,0.0
15686,158,0.0
15773,158,0.0
16081,158,0.0
16672,158,0.0
17982,158,0.0
18121,158,0.0
18898,158,0.0
19045,158,0.0
19359,158,1.0
19435,158,0.0
19489,158,0.0
19731,158,0.0
21015,158,0.0
21594,158,0.0
22299,158,0.0
22393,158,0.0
22515,158,0.0
23360,158,0.0
24817,158,0.0
28426,158,0.0
28686,158,0.0
28800,158,0.0
30779,158,0.0
31348,158,0.0
31734,158,0.0
32451,158,0.0
35491,158,0.0
36765,158,0.0
36781,158,0.0
37231,158,0.0
39892,158,0.0
40182,158,0.0
41208,158,0.0
48032,158,0.0
52797,158,0.0
115024,158,0.0
128755,158,0.0
160541,158,0.0
281006,158,0.0
293680,158,0.0
342625,158,0.0
398935,158,0.0
398983,158,0.0
399566,158,0.0
249,159,0.0
362,159,0.0
567,159,0.0
815,159,0.0
919,159,0.0
1128,159,0.0
1465,159,0.0
1927,159,0.0
1955,159,0.0
2010,159,0.0
2280,159,0.0
2892,159,0.0
3580,159,0.0
4420,159,0.0
5083,159,0.0
5147,159,0.0
6690,159,0.0
6704,159,0.0
6810,159,0.0
6994,159,0.0
7021,159,0.0
7965,159,0.0
8566,159,0.0
9108,159,0.0
9469,159,0.0
9673,159,0.0
13405,159,0.0
13886,159,0.0
15282,159,0.0
15686,159,0.0
15773,159,0.0
16081,159,0.0
16672,159,0.0
17982,159,0.0
18121,159,0.0
18898,159,0.0
19045,159,0.0
19359,159,1.0
19435,159,0.0
19489,159,0.0
19731,159,0.0
21015,159,0.0
21594,159,0.0
